ACL/*/read,ACL/as6iic7p4c/read,ACL/as6iic7p4c/write,DataRate,DeviceDistance,DownloadTime,EndTime,FileSize,StartTime,createdAt,objectId,updatedAt
TRUE,TRUE,TRUE,1548.942835,20,12.77,1.43674E+12,19780,1.43674E+12,2015-07-12T23:31:46.782Z,O4fgRBqoG7,2015-07-12T23:31:53.611Z
TRUE,TRUE,TRUE,49106.03465,3,10.506,1.43675E+12,515908,1.43675E+12,2015-07-13T00:08:28.228Z,O9t8nm3VJ0,2015-07-13T00:08:36.266Z
TRUE,TRUE,TRUE,684.07401,1,28.915,1.43674E+12,19780,1.43674E+12,2015-07-12T23:12:20.809Z,OFbaYUpL48,2015-07-12T23:12:27.166Z
TRUE,TRUE,TRUE,7360.300685,3,13.436,1.43674E+12,98893,1.43674E+12,2015-07-12T23:37:35.232Z,OYjkyJMMww,2015-07-12T23:37:43.129Z
TRUE,TRUE,TRUE,37436.18025,8,13.781,1.43675E+12,515908,1.43675E+12,2015-07-13T00:17:25.383Z,PYtV31ffJo,2015-07-13T00:17:34.852Z
TRUE,TRUE,TRUE,9672.63302,5,10.224,1.43674E+12,98893,1.43674E+12,2015-07-12T23:42:44.373Z,PxACTOf2pH,2015-07-12T23:42:51.614Z
TRUE,TRUE,TRUE,36813.75767,3,14.014,1.43675E+12,515908,1.43675E+12,2015-07-13T00:09:25.227Z,Q0VU5mRyDS,2015-07-13T00:09:33.826Z
TRUE,TRUE,TRUE,31919.07443,3,16.163,1.43675E+12,515908,1.43675E+12,2015-07-13T00:09:55.024Z,QB1NtlXrAy,2015-07-13T00:10:04.539Z
TRUE,TRUE,TRUE,1693.348172,8,11.681,1.43674E+12,19780,1.43674E+12,2015-07-12T23:17:27.173Z,QLkOjYL5br,2015-07-12T23:17:32.158Z
TRUE,TRUE,TRUE,9026.37824,20,10.956,1.43675E+12,98893,1.43675E+12,2015-07-13T00:00:56.858Z,Qd8xaZVrcm,2015-07-13T00:01:05.821Z
TRUE,TRUE,TRUE,4723.360558,15,20.937,1.43675E+12,98893,1.43675E+12,2015-07-12T23:52:35.865Z,QshMxNxkKt,2015-07-12T23:52:45.202Z
TRUE,TRUE,TRUE,7931.109151,8,12.469,1.43674E+12,98893,1.43674E+12,2015-07-12T23:44:50.103Z,QxVMruCuuv,2015-07-12T23:45:00.159Z
TRUE,TRUE,TRUE,7021.65578,1,14.084,1.43674E+12,98893,1.43674E+12,2015-07-12T23:35:29.117Z,RIaI5qkV39,2015-07-12T23:35:37.227Z
TRUE,TRUE,TRUE,1942.453108,15,10.183,1.43674E+12,19780,1.43674E+12,2015-07-12T23:28:18.717Z,RgXTpe8qGa,2015-07-12T23:28:24.405Z
TRUE,TRUE,TRUE,6642.017597,3,14.889,1.43674E+12,98893,1.43674E+12,2015-07-12T23:38:25.031Z,RmBd6SJqpz,2015-07-12T23:38:31.873Z
TRUE,TRUE,TRUE,34837.4637,14,14.809,1.43675E+12,515908,1.43675E+12,2015-07-13T00:28:39.049Z,RzZ0JkFxPk,2015-07-13T00:28:48.028Z
TRUE,TRUE,TRUE,2409.257004,3,8.21,1.43674E+12,19780,1.43674E+12,2015-07-12T23:04:38.846Z,S50lDy0Y32,2015-07-12T23:04:47.710Z
TRUE,TRUE,TRUE,9921.047352,1,9.968,1.43674E+12,98893,1.43674E+12,2015-07-12T23:34:57.580Z,Sa7zPF8hBa,2015-07-12T23:35:04.845Z
TRUE,TRUE,TRUE,1820.022083,10,10.868,1.43674E+12,19780,1.43674E+12,2015-07-12T23:22:03.249Z,SbLqFQc68Y,2015-07-12T23:22:11.661Z
TRUE,TRUE,TRUE,44927.98049,3,11.483,1.43675E+12,515908,1.43675E+12,2015-07-13T00:11:08.444Z,Sh0gAWuESw,2015-07-13T00:11:17.756Z
TRUE,TRUE,TRUE,993.121454,3,19.917,1.43674E+12,19780,1.43674E+12,2015-07-12T23:01:31.523Z,ShOVhpTyvk,2015-07-12T23:01:43.307Z
